,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2030,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Present Value of Est. Free Cash Flow,,,,,,,0,,,0,-26872.2932571757,-59289.8449417299,-86705.2528439533,-105488.529917207,-107176.757304889,,,156188.041002122,156188.041002122,156188.041002122,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Present Value,,,,,,,552218.547674023,,,4051375.22837116,4360963.57076737,4692949.20583626,5060200.12274257,5468859.61675372,5930112.64142484,,,4544023.90502667,4908427.09178011,4207563.26937329,,,,,,,,,,,,,,,,
,,,,,,,,Multiple of Trailing adj. EBITDA,,,,,,,30.0461694147681,,,136.750665914101,119.272586242031,107.943444793363,110.21519695815,96.2725700938935,87.4905966571973,,,37.7247692444017,32.6171676553308,24.0256456384661,,,,,,,,,,,,,,,,
,,,,,,,,Multiple of Forward adj. EBITDA,,,,,,,24.5769080810905,,,110.805328566342,100.307378111311,102.216178903909,89.0786206165295,80.6854472817013,55.6656057056147,,,30.1956587657767,28.0276545828201,4.64503750667203,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Adj. EBITDA,,,,,,,,,,,,43476,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Plus Alphabet EBITDA Losses,,,,,,,,,,,,6121.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Less D&A ,,,,,,,,,,,,-6915,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EBIT,,,,,,,,,,,,42682.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Other Income,,,,,,,,,,,,3141,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pre-Tax Income,,,,,,,,,,,,45823.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Less Taxes,,,,,,,,,,,,-22313.3672872954,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Net Income,,,,,,,,,,,,23510.0827127046,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Shares,,,,,,,,,,,,14019.295,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core EPS,,,,,,,,,,,,1.67698038401393,,112.528333310625,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,EPS,5.80092365137074,8.04338307658318,10.807031888798,11.3786035813535,13.123386195608,14.6989857640789,16.4928001668786,18.6929576397039,21.2253492456795,24.5889295869415,28.5229495975018,34.1750051076198,40.2848136698304,,,,,,
,,,,,,,,Core Fair value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PV of FCF,,,156188.041002122,,,,,,,,,,,,,,FCF,69495,72764,73266,24586.9786674124,17268.2456802448,21611.7321583557,43112.8269783763,76700.1265479001,117592.223251721,167266.694224844,220284.177880198,277176.862643943,346149.376873455,,,,,,
,,,,,,,,NPV of terminal value,,,1975928.93735975,,,,,,,,,,,,,,FCF conversion,0.576951814830804,0.483526706803291,0.418356858983144,0.11011312156759,0.0618490649189125,0.0643588810705583,0.108281309300605,0.163202765262016,0.216947810919738,0.26854012906429,0.313861223064967,0.351246055705398,0.393603859910507,,,,,,
,,,,,,,,Enterprise value,,,2132116.97836187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(-) Debt,,,46547,,,,,,,,,,,,,,share count,12721.25,12447.25,12230,12190.2511576493,12162.0319638102,12134.181221805,12109.7055366664,12089.1499865016,12072.4361686112,12059.4872483497,12050.2279277644,12044.584414862,12042.4843934887,,,,,,
,,,,,,,,(+) Cash & equivalents,,,195530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Equity value,,,2281099.97836187,,,,,,,,,,,,,,FCF per share,5.4629065539943,5.84578923055293,5.99067865903516,2.01693782592693,1.4198487334706,1.78106225408268,3.5601878879579,6.34454255539399,9.74055456656422,13.8701331806404,18.2804988586689,23.012571716624,28.7440170618462,,,,,,
,,,,,,,,Fully Diluted Shares,,,12088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Equity fair value per share,,,188.707807607699,,,,,,,,,,,,,,,0.576951814830804,0.483526706803291,0.418356858983144,0.11011312156759,0.0618490649189125,0.0643588810705583,0.108281309300605,0.163202765262016,0.216947810919738,0.26854012906429,0.313861223064967,0.351246055705398,0.393603859910507,,,,,,
,,,,,,,,Terminal FCF multiple,,,18.8506743828761,,,,,,,,,,,,,,,69495,72764,73266,24586.9786674124,17268.2456802448,21611.7321583557,43112.8269783763,76700.1265479001,117592.223251721,167266.694224844,220284.177880198,277176.862643943,346149.376873455,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,12721.25,12447.25,12230,12190.2511576493,12162.0319638102,12134.181221805,12109.7055366664,12089.1499865016,12072.4361686112,12059.4872483497,12050.2279277644,12044.584414862,12042.4843934887,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.4629065539943,5.84578923055293,5.99067865903516,2.01693782592693,1.4198487334706,1.78106225408268,3.5601878879579,6.34454255539399,9.74055456656422,13.8701331806404,18.2804988586689,23.012571716624,28.7440170618462,,,,,,
,,,,,,,,Core DCF valuation assumptions,,,,,,,,,,,,,,,,,,,,,54.5381213967005,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9751379507961,,,,,,,,,,,,,,,
,,,,,,,,Cost of Equity,,,0.08663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cost of Debt,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Marginal Tax-Rate,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Long-Term Debt / Total Cap.,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WACC,,,0.0830485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Perpetual growth rate,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EV / EBITDA Mult. ('20e adj. EBITDA),,,31.4564322567405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Price to Earnings Mult. ('20e GAAP EPS),,,33.6386378640296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal EBITDA Margin,,,0.510711265346592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal FCF Conversion,,,0.168957075396006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2009-FY,2010-FY,2011-FY,2012-FY,2013-FY,2014-FY,2015-FY,2016-FY,2017-FY,2018-FY,2019-FY,2020-FY,2021-FY,2022-FY,2023-FY,2024-FY,2025-FY,,,,,,,,,,,,,,,,
,,,,,,,,Period-End Date,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,,,,,,,,,,,,,,,,
,,,,,,,,Morgan Stanley | Google DCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
