,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"""GOOGLE OTHER REVENUES""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Core Google ""Other"" Revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,1670,1629,1752,2100,2071,2172,2433,3403,2944.68687000988,3190.01985082344,3729.97645756872,5105.31682159797,4403.11019926654,4493.47016813762,4524.41963259584,6480,5445,6180,6429,7878,7212,8131,8922,10505,10541,11251,11744,13702,12632,12829,13763,16111,14867,16173,16750,19986,18313,19659,22009,23588,22639,24827,28027,31242,31892,35392,39392,42392,42792,47192,52092,56392,,,,,,,,,,,,,4435,6050,7151,10079,14970,19901,25932,34770,47238,55335,67776,83569,106735,149068,198468,254968,319168,389668,464668,546468,634268,727068,823568,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Period-to-period addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,-18,-41,123,348,-29,101,261,970,-458.313129990123,245.332980813564,539.956606745281,1375.34036402925,-702.20662233143,90.359968871082,30.9494644582201,1955.58036740416,-1035,735,249,1449,-666,919,791,1583,36,710,493,1958,-1070,197,934,2348,-1244,1306,577,3236,-1673,1346,2350,1579,-949,2188,3200,3215,650,3500,4000,3000,400,4400,4900,4300,,,,,,,,,,,,,4435,1615,1101,2928,4891,4931,6031,8838,12468,8097,12441,15793,23166,42333,49400,56500,64200,70500,75000,81800,87800,92800,96500,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% change Y/Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,0.244075829383886,0.240119760479042,0.333333333333333,0.388698630136986,0.62047619047619,0.421867151139487,0.468701588776906,0.533077047911517,0.500240029855412,0.495272806120731,0.40860257248171,0.212988790697343,0.269265008703565,0.23662587434378,0.375329037192959,0.420955729588554,0.215740740740741,0.324517906336088,0.315695792880259,0.387774148390107,0.333460269103834,0.46159179145868,0.383716640019678,0.316296794440708,0.304331270823417,0.198368276254625,0.1402541996267,0.17191757493188,0.175813749817545,0.176931602279924,0.260659443448437,0.217031170529681,0.240518900130346,0.231788524920966,0.21554442589501,0.313970149253731,0.180226158310818,0.236225632064654,0.262882140495447,0.273433595347358,0.324487027302018,0.408719466407527,0.425544769807065,0.405501837513826,0.356891364189232,0.341778502445755,0.333408679927667,0.322400487408611,0.330250990752972,,,,,,,,,,,,,NA,0.364148816234498,0.18198347107438,0.409453223325409,0.485266395475742,0.32939211756847,0.303050097985026,0.340814437760296,0.358584987057808,0.171408611710911,0.224830577392247,0.233017587346553,0.27720805561871,0.396617791727175,0.3313923846835,0.284680653808171,0.251796303849895,0.220886805694807,0.192471539874971,0.176039667031085,0.160668145252787,0.146310392452402,0.132724862048667,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% change Q/Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,-0.0106635071090048,-0.0245508982035928,0.0755064456721915,0.198630136986301,-0.0138095238095238,0.048768710767745,0.120165745856354,0.398684751335799,-0.134679144869269,0.0833137755026365,0.169264340661047,0.368726285453749,-0.137544181266235,0.0205218504152209,0.00688765326132068,0.432227893565691,-0.159722222222222,0.134986225895317,0.0402912621359224,0.225384974335044,-0.0845392231530845,0.127426511369939,0.0972820071331939,0.177426585967272,0.0034269395525941,0.0673560383265346,0.0438183272597992,0.166723433242507,-0.0780907896657422,0.0155953134895503,0.0728038038818302,0.17060233960619,-0.0772143256160387,0.0878455640008071,0.035676745192605,0.193194029850746,-0.083708596017212,0.0734996996669033,0.119538125031792,0.071743377709119,-0.0402323215194167,0.0966473784177746,0.128891932170621,0.114710814571663,0.020805326163498,0.109745390693591,0.113019891500904,0.0761575954508529,0.00943574259294211,0.102822957562161,0.10383115782336,0.0825462643016202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Subscriptions, Platforms, and Devices (ex. Cloud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4771,3620,4080,4050,5264,4435,5124,5478,6674,6494,6623,6754,8161,6811,6553,6895,8796,7413,8142,8339,10794,8739,9312,10656,11633,10379,11203,12870,13578,12139.25,12857.14,14583.365,15164.7285,13678.45,14239.208,15800.56935,17340.235625,,,,,,,,,,,,,,5200,5451,7379,10914,14063,17014,21711,28032,29055,34688,40340,48030,54744.4835,61058.462975,67344.6426911483,73265.6259169439,78841.3730354081,84085.4033518226,89015.8072691701,93659.7485506877,98014.7328878152,101891.352978193,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Period-to-period addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,-829,689,354,1196,-180,129,131,1407,-1350,-258,342,1901,-1383,729,197,2455,-2055,573,1344,977,-1254,824,1667,708,-1438.75,717.889999999999,1726.225,581.3635,-1486.2785,560.758000000002,1561.36135,1539.666275,,,,,,,,,,,,,,5200,251,1928,3535,3149,2951,4697,6321,1023,5633,5652,7690,6714.4835,6313.979475,6286.17971614833,5920.98322579562,5575.74711846415,5244.03031641449,4930.40391734749,4643.94128151762,4354.98433712754,3876.62009037752,,,,,,,,,,,,,,,,,,,,
