,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2035,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Years to Terminal,,,,,,,1,,,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Present Value of Est. Free Cash Flow,,,,,,,0,,,0,475303.306103819,475303.306103819,475303.306103819,475303.306103819,475303.306103819,475303.306103819,475303.306103819,475303.306103819,475303.306103819,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Present Value,,,,,,,526114.078314767,,,6356021.86132523,7359183.24897932,7930879.15241522,8550053.54308761,9220649.43814376,9946937.31639048,10733542.3134938,11585473.675699,12508156.6596383,13507467.0813693,6356021.86132523,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Multiple of Trailing adj. EBITDA,,,,,,,28.6258272112067,,,214.542019217081,201.27405434399,182.419706330279,186.226989525344,162.318231140087,146.753279970352,100.755107090835,105.19625245795,103.843494999156,89.758961507179,36.293578761393,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Multiple of Forward adj. EBITDA,,,,,,,23.4151087415892,,,173.837536890442,169.270016767396,172.740877165343,150.513212391079,136.037908500203,93.3712939556606,97.460704549938,96.1833234458456,83.1184074242011,77.1291117432354,6.00797936811246,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Adj. EBITDA,,,,,,,,,,,36563,43476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Plus Alphabet EBITDA Losses,,,,,,,,,,,3081,5323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Less D&A ,,,,,,,,,,,-6144,-6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EBIT,,,,,,,,,,,33500,41884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Other Income,,,,,,,,,,,1302,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pre-Tax Income,,,,,,,,,,,34802,42931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Less Taxes,,,,,,,,,,,-7695.17531520436,-20904.9115902639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Net Income,,,,,,,,,,,27106.8246847956,22026.0884097361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Shares,,,,,,,,,,,13974.095,14019.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core EPS,,,,,,,,,,,1.93979106946072,1.57112668003178,,155.794195651275,192.351255464675,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.60985282372233,4.55766061570064,5.80092365137074,8.04338307658318,10.807031888798,12.1035229951971,13.7191744566085,15.5543651150416,17.7881076549433,20.3511815980325,23.3282022827666,27.0597629170183,31.6433918099523,38.026733294952,44.8958301303346,,,,,,,,,,,,
